field,n_pre,n_post,avg_markers_pre,avg_markers_post,frac_any_pre,frac_any_post,propensity_ratio,propensity_binary
Arts and Humanities,1000,1000,5.697,6.776,0.78,0.856,0.1894,0.0974
Agricultural and Biological Sciences,1000,1000,5.236,6.527,0.764,0.808,0.2466,0.0576
"Business, Management and Accounting",1000,1000,6.755,8.898,0.84,0.884,0.3172,0.0524
Chemistry,1000,1000,3.787,4.658,0.662,0.703,0.23,0.0619
Computer Science,1000,1000,5.354,7.551,0.82,0.843,0.4103,0.028
Mathematics,1000,1000,2.737,3.25,0.671,0.676,0.1874,0.0075
Physics and Astronomy,1000,1000,4.092,4.861,0.784,0.805,0.1879,0.0268
Psychology,1000,1000,6.042,7.037,0.799,0.805,0.1647,0.0075
Medicine,1000,1000,4.356,5.027,0.694,0.693,0.154,-0.0014
Engineering,1000,1000,4.398,5.493,0.706,0.745,0.249,0.0552
Social Sciences,1000,1000,6.323,7.721,0.835,0.891,0.2211,0.0671
"Economics, Econometrics and Finance",1000,1000,4.917,6.448,0.694,0.751,0.3114,0.0821
Environmental Science,1000,1000,5.14,6.355,0.651,0.686,0.2364,0.0538
Neuroscience,1000,1000,5.229,6.439,0.696,0.735,0.2314,0.056
Materials Science,1000,1000,3.449,4.649,0.578,0.614,0.3479,0.0623
Nursing,1000,1000,4.864,5.528,0.723,0.703,0.1365,-0.0277
