field,mr_pre,surp_pre,mr_post,surp_post,delta_mr,delta_surp
Agricultural and Biological Sciences,0.05117,0.657598,0.067352,0.694636,0.016181,0.037038
Arts and Humanities,0.057843,0.685231,0.073575,0.757356,0.015732,0.072125
"Business, Management and Accounting",0.071613,0.706662,0.092693,0.781337,0.02108,0.074675
Chemistry,0.050801,0.656197,0.064861,0.685869,0.01406,0.029672
Computer Science,0.054296,0.746756,0.079501,0.786927,0.025205,0.040171
"Economics, Econometrics and Finance",0.060118,0.872775,0.077687,0.849005,0.017569,-0.023769
Engineering,0.049338,0.628326,0.069005,0.670552,0.019667,0.042226
Environmental Science,0.054746,0.721807,0.071065,0.735034,0.016318,0.013227
Materials Science,0.048645,0.545377,0.067921,0.576446,0.019276,0.031068
Mathematics,0.042804,0.721306,0.048795,0.754859,0.005991,0.033552
Medicine,0.0495,0.4785,0.069979,0.489058,0.020479,0.010558
Neuroscience,0.057193,0.704133,0.075408,0.749908,0.018215,0.045775
Nursing,0.053788,0.748239,0.06951,0.805416,0.015722,0.057177
Physics and Astronomy,0.04156,0.54877,0.053238,0.5796,0.011679,0.030829
Psychology,0.067384,0.699982,0.0833,0.747261,0.015917,0.047279
Social Sciences,0.065504,0.755974,0.082429,0.792755,0.016925,0.036781
