field,n_papers,mean_marker_rate,median_marker_rate,pct_llm,pct_llm_strict,mean_authors,mean_institutions,mean_countries,mean_surprise,median_surprise
"Business, Management and Accounting",5390,0.07650149477313561,0.0728904941373534,43.3,19.6,2.819294990723562,2.8727272727272726,0.9437847866419296,0.7415935631163708,0.495243
Psychology,5098,0.07322494514027866,0.0695652173913043,38.7,15.1,3.766575127500981,3.766575127500981,1.0798352295017655,0.7224369746659243,0.5376945
Social Sciences,5616,0.0662035166546912,0.0628571428571428,31.5,13.6,2.5651709401709404,2.584045584045584,0.8577279202279202,0.7735365685863874,0.54412
"Economics, Econometrics and Finance",4902,0.06549009692934005,0.0620563805688396,29.6,11.8,2.90922072623419,3.10077519379845,0.9498164014687882,0.8611390294639687,0.645762
Computer Science,5196,0.06519327273448763,0.0588235294117647,29.2,13.0,3.6168206312548112,3.6168206312548112,1.0263664357197844,0.7663065700457112,0.413721
Neuroscience,4555,0.06516516638369269,0.0602409638554216,26.5,10.5,5.42854006586169,5.454006586169045,1.2122941822173436,0.7274506006080707,0.491737
Environmental Science,4258,0.06120465620645485,0.057347670250896,22.6,7.4,4.88327853452325,5.149835603569751,1.229685298262095,0.728507441452724,0.47179000000000004
Nursing,4668,0.05934582481008886,0.055785441923293905,23.1,8.9,5.144601542416453,5.275064267352185,1.0488431876606683,0.7758655109601729,0.611829
Engineering,4497,0.0582822537960739,0.0526315789473684,20.3,7.5,4.599066044029353,4.6742272626195245,1.1078496775628197,0.650038563032368,0.342866
Medicine,4617,0.05822841262213691,0.054054054054054,22.0,8.9,6.620099631795538,6.982239549491012,1.192116092700888,0.4838187151496825,0.322936
Agricultural and Biological Sciences,4862,0.05784250114420442,0.053475935828877,20.3,6.8,4.986013986013986,5.0306458247634716,1.090497737556561,0.6754082073101085,0.449705
Materials Science,3754,0.057409985705362675,0.0529801324503311,20.2,7.0,5.651038891848695,6.007458710708578,1.232818327117741,0.5613119978514426,0.36783699999999997
Chemistry,4358,0.05684594412397733,0.0526315789473684,19.7,6.7,5.370812299219826,5.583065626434144,1.1943552088113814,0.6715721845528455,0.44193550000000004
Arts and Humanities,5770,0.054932419544936564,0.0505617977528089,21.4,9.4,1.7275563258232236,1.7275563258232236,0.7048526863084922,0.7217101598152426,0.531634
Mathematics,4357,0.04813633302532237,0.0425531914893617,16.1,6.2,2.828092724351618,2.8313059444571955,1.2001377094330963,0.7369573311475409,0.48852
Physics and Astronomy,4890,0.04726012786846611,0.0434782608695652,11.1,3.6,6.076482617586912,9.493047034764826,1.5177914110429447,0.5643004219164857,0.279062
