subfield,mean_marker_rate,llm_pct,n_papers,field
"Tourism, Leisure and Hospitality Management",0.10281588411710095,0.5833333333333334,24,"Business, Management and Accounting"
Management Information Systems,0.0950260736142688,0.6167146974063401,347,"Business, Management and Accounting"
Communication,0.094733749201705,0.6666666666666666,48,Social Sciences
Human Factors and Ergonomics,0.09144326264519209,0.576271186440678,59,Social Sciences
Computer Science Applications,0.09055346219744717,0.5675675675675675,74,Computer Science
Applied Psychology,0.08840658574669351,0.6330275229357798,109,Psychology
Marketing,0.08828037441858307,0.5903307888040712,393,"Business, Management and Accounting"
Organizational Behavior and Human Resource Management,0.08677105297280883,0.5701492537313433,335,"Business, Management and Accounting"
Accounting,0.08623668112436818,0.5346687211093991,649,"Business, Management and Accounting"
Biological Psychiatry,0.08526477202450636,0.47619047619047616,63,Neuroscience
Education,0.08475045373807806,0.516566265060241,664,Social Sciences
Strategy and Management,0.08425526504570421,0.5013812154696132,724,"Business, Management and Accounting"
Human-Computer Interaction,0.08399146325744433,0.4358974358974359,78,Computer Science
Developmental and Educational Psychology,0.08222784780731675,0.4846153846153846,390,Psychology
Management of Technology and Innovation,0.08159771167341254,0.49387755102040815,245,"Business, Management and Accounting"
Hardware and Architecture,0.08130913661680161,0.42857142857142855,35,Computer Science
Urban Studies,0.08126987530878116,0.4634146341463415,41,Social Sciences
Information Systems,0.0808554728102504,0.46615384615384614,650,Computer Science
Signal Processing,0.08078496895762685,0.4935064935064935,77,Computer Science
Social Psychology,0.08058626966699656,0.46774193548387094,744,Psychology
Experimental and Cognitive Psychology,0.08050304843653254,0.4797136038186158,419,Psychology
Clinical Psychology,0.07968090577786974,0.4681960375391032,959,Psychology
Nephrology,0.07963395850707097,0.42857142857142855,28,Medicine
Media Technology,0.07961211405312413,0.375,48,Engineering
Research and Theory,0.07906005663365388,0.4782608695652174,69,Nursing
Business and International Management,0.07900045219698457,0.4375,112,"Business, Management and Accounting"
Automotive Engineering,0.07884834956628063,0.45652173913043476,92,Engineering
Artificial Intelligence,0.0786272238148442,0.45828144458281445,803,Computer Science
