model,dv,variable,coefficient,std_error,t_stat,p_value
(1) No FE,log_surprise,treatment,0.02169242260965709,0.09572131727267386,0.2266206026800026,0.768068845081628
(1) No FE,log_surprise,num_authors,-0.008454606552518569,0.0007550128535455059,-11.197963733751184,0.0
(1) No FE,log_surprise,institutions_distinct_count,0.0009881120761025426,0.00017110601171170775,5.77485306458658,5.580862438847589e-09
(1) No FE,log_surprise,countries_distinct_count,-0.06062199930693326,0.003693045075567337,-16.415179903435195,0.0
(2) Log Surprise,log_surprise,treatment,0.04975495168122756,0.09253829253259789,0.5376687889902517,0.5165466663901133
(2) Log Surprise,log_surprise,num_authors,-0.0037434269549667387,0.0006400559274085529,-5.848593528573447,3.5926428498811447e-09
(2) Log Surprise,log_surprise,institutions_distinct_count,0.0007648791199204169,0.000147440683350108,5.187707371812426,1.542093182038684e-07
(2) Log Surprise,log_surprise,countries_distinct_count,-0.054846494881625796,0.003386061233130399,-16.197726829328612,0.0
(3) Log Surprise+T,log_surprise,treatment,-0.052183854625303776,0.16119790539879186,-0.323725388963366,0.6818947405046059
(3) Log Surprise+T,log_surprise,treatment_x_trend,0.014694956914737031,0.018534474664503732,0.7928445332675144,0.35900490607029667
(3) Log Surprise+T,log_surprise,num_authors,-0.0037421500093452187,0.000640047642381636,-5.84667415603715,3.6343110743075613e-09
(3) Log Surprise+T,log_surprise,institutions_distinct_count,0.0007649877181363091,0.0001474927304486539,5.186613033803869,1.551179191761065e-07
(3) Log Surprise+T,log_surprise,countries_distinct_count,-0.054847086916312404,0.0033861337604325385,-16.19755473254144,0.0
(4) Distinct Fields,n_distinct_fields_cited,treatment,1.0715103770577512,0.25177567253918026,4.255813781575768,1.5128597087299411e-05
(4) Distinct Fields,n_distinct_fields_cited,num_authors,0.006464058178983101,0.001794605157214951,3.601938929571938,0.00023068066299103407
(4) Distinct Fields,n_distinct_fields_cited,institutions_distinct_count,-0.00343790481711137,0.0006581099854977041,-5.2239061750619245,1.2689174888613763e-07
(4) Distinct Fields,n_distinct_fields_cited,countries_distinct_count,0.2222708265551967,0.011395307961989986,19.505469031341658,0.0
(5) Distinct Fields+T,n_distinct_fields_cited,treatment,0.34297690305493717,0.43350108829984124,0.791178874313942,0.35990420400306844
(5) Distinct Fields+T,n_distinct_fields_cited,treatment_x_trend,0.10502151633224299,0.0502378991312005,2.0904838408543016,0.027676186102763456
(5) Distinct Fields+T,n_distinct_fields_cited,num_authors,0.006473184219042971,0.0017939291785902245,3.608383372263325,0.00022501004101105337
(5) Distinct Fields+T,n_distinct_fields_cited,institutions_distinct_count,-0.0034371286903511766,0.0006578471467263609,-5.224813556546274,1.2627103940232587e-07
(5) Distinct Fields+T,n_distinct_fields_cited,countries_distinct_count,0.22226659541791194,0.011395298876629371,19.50511327734972,0.0
(6) Within-Field Share,within_field_share,treatment,-0.0708909368662736,0.03646660537844161,-1.9439960514718768,0.03952498370762836
(6) Within-Field Share,within_field_share,num_authors,-0.0007823202960392239,0.00022500216513110242,-3.4769456355381645,0.0003709644904903442
(6) Within-Field Share,within_field_share,institutions_distinct_count,-5.978247384981483e-05,3.955993389768678e-05,-1.5111874050252279,0.10207799622049119
(6) Within-Field Share,within_field_share,countries_distinct_count,0.012386730036612559,0.0011903454376590613,10.405996145935887,0.0
(7) Within-Field Share+T,within_field_share,treatment,0.02296470553701458,0.06282448317866653,0.3655375161894331,0.6470057583076909
(7) Within-Field Share+T,within_field_share,treatment_x_trend,-0.013529730936559424,0.0072113510185134585,-1.8761714555046622,0.04633031970778223
(7) Within-Field Share+T,within_field_share,num_authors,-0.0007834959871814429,0.00022492494583227368,-3.483366348193744,0.0003621496558559034
(7) Within-Field Share+T,within_field_share,institutions_distinct_count,-5.9882460848689756e-05,3.9566982642513705e-05,-1.5134452224908248,0.10161384743635327
(7) Within-Field Share+T,within_field_share,countries_distinct_count,0.012387275126333946,0.0011903880800764105,10.406081288665805,0.0
(8) Citation HHI,citation_hhi,treatment,-0.09657403509066587,0.02742138624588286,-3.521850945998976,0.0003132834594405942
(8) Citation HHI,citation_hhi,num_authors,-0.00036049603396645646,0.0001619036296180191,-2.2266087228370264,0.01955001234355125
(8) Citation HHI,citation_hhi,institutions_distinct_count,0.0001193754379168327,2.004287259031971e-05,5.956004428950396,1.8736021623055876e-09
(8) Citation HHI,citation_hhi,countries_distinct_count,-0.001400345577804607,0.0009045106902337691,-1.5481802403492768,0.09468550116557917
(9) Citation HHI+T,citation_hhi,treatment,0.00504057204942491,0.04716766022266046,0.10686500084232076,0.8849116914570172
(9) Citation HHI+T,citation_hhi,treatment_x_trend,-0.014648222084743194,0.005408696852517628,-2.7082719708953134,0.005016901081248637
(9) Citation HHI+T,citation_hhi,num_authors,-0.0003617689184779588,0.00016181059767357767,-2.2357554058836078,0.019087736593526916
(9) Citation HHI+T,citation_hhi,institutions_distinct_count,0.00011926718507924983,1.9965940949185945e-05,5.973531895280528,1.682974648531399e-09
(9) Citation HHI+T,citation_hhi,countries_distinct_count,-0.0013997554259882194,0.0009044798505252791,-1.5475805516013514,0.0948017805655863
(10) Reference Count,n_references,treatment,10.101865207577426,3.7535935071040787,2.691251780049854,0.005282454105416612
(10) Reference Count,n_references,num_authors,0.324311329980115,0.04193158323146475,7.7342972763489,7.549516567451064e-15
(10) Reference Count,n_references,institutions_distinct_count,-0.083198826120638,0.016664349810745313,-4.992623598611132,4.3152792006395657e-07
(10) Reference Count,n_references,countries_distinct_count,5.659724679538964,0.2637148835394065,21.46152922268887,0.0
(11) Reference Count+T,n_references,treatment,5.453593397886464,6.454531093549899,0.8449248007088097,0.3316974840190392
(11) Reference Count+T,n_references,treatment_x_trend,0.6700701768663722,0.7484648085710458,0.8952594286238479,0.30677105912468794
(11) Reference Count+T,n_references,num_authors,0.32436955697482617,0.0419295182174995,7.736066875184101,7.549516567451064e-15
(11) Reference Count+T,n_references,institutions_distinct_count,-0.08319387418874591,0.0166639988325638,-4.99243159007989,4.3195739252155363e-07
(11) Reference Count+T,n_references,countries_distinct_count,5.659697683557642,0.26371159262259414,21.461694676644008,0.0
(12) Shannon Entropy,surprise_entropy,treatment,0.20848259539145061,0.05597894226436056,3.7243039428449998,0.00014285148156067962
(12) Shannon Entropy,surprise_entropy,num_authors,0.0006311367238939214,0.0003387452039038342,1.8631606193104766,0.047742970362327775
(12) Shannon Entropy,surprise_entropy,institutions_distinct_count,-0.0003516866764869675,5.087939265196931e-05,-6.912163415404986,3.4714453533979395e-12
(12) Shannon Entropy,surprise_entropy,countries_distinct_count,0.01322427159047318,0.0018980695184785067,6.967221938780073,2.3514523661560816e-12
(13) Shannon Entropy+T,surprise_entropy,treatment,0.0011644877738978562,0.09615419837147778,0.012110628486538122,0.9864075494952664
(13) Shannon Entropy+T,surprise_entropy,treatment_x_trend,0.02988587731665872,0.01109819063033811,2.6928603330134213,0.005256825484240224
(13) Shannon Entropy+T,surprise_entropy,num_authors,0.0006337337128082543,0.00033854727582972226,1.8719208750242633,0.04678789393515426
(13) Shannon Entropy+T,surprise_entropy,institutions_distinct_count,-0.0003514658148011107,5.0729023430704e-05,-6.9282984578091495,3.097966327914037e-12
