label,N,beta1,se,t_stat,p_value,r2,r2_adj,sig,dv
Baseline,35080,0.08685329252814324,0.10516156366487753,0.8259033957018937,0.3414899808251586,0.06309654172140777,0.06173243082805935,,log_surprise
Binary propensity,35080,-0.05433597091271764,0.2280139237474773,-0.23830110907127794,0.7573109696654643,0.06307880977013325,0.06171467305945255,,log_surprise
Drop Arts & Hum.,33973,0.08675804389613015,0.10587679861597009,0.8194245106599196,0.34487274851405214,0.06373885028419346,0.0623588297227351,,log_surprise
Drop Psychology,32967,0.04407788829108819,0.10924283592620447,0.40348539029931085,0.6164522625987807,0.06498742387102141,0.06356712283789312,,log_surprise
Drop A&H + Psych,31860,0.04204992185874019,0.11024775607931046,0.3814129498335562,0.6340966463069326,0.06560059451001987,0.06416124930822775,,log_surprise
Cutoff: Aug 2024,35080,0.15322328634565835,0.10234530082211091,1.4971208752610912,0.10500836265025204,0.06313901665291699,0.06177496760213752,,log_surprise
Cutoff: Feb 2025,35080,0.1225822378594651,0.11097284020085173,1.1046147655372371,0.21765000645108667,0.06311174995081914,0.06174766120031938,,log_surprise
Min 5 refs,34103,0.11305914572317288,0.10584710934456185,1.068136356517152,0.23156742200160751,0.061146367514942956,0.059740196323003314,,log_surprise
Min 10 refs,31413,0.16969803245349535,0.108824780158883,1.5593694028670497,0.09253705594972761,0.05939625949089211,0.05786662743942805,*,log_surprise
Raw (no log),35080,0.12823854870929796,0.10341850704634424,1.2399961319479431,0.17148533213492412,0.02508534016465036,0.02366588579524287,,log_surprise
Winsorized (95th),35080,0.07700328136754493,0.10081825541611189,0.763783116953628,0.3749293209382689,0.06724629992785747,0.0658882309914729,,log_surprise
Winsorized (99th),35080,0.08372793734207072,0.10448700310709712,0.8013239431917789,0.35445194617863907,0.0637700531243377,0.062406922848824875,,log_surprise
Baseline,35080,0.8213749995045655,0.3365486391300065,2.4405833332972526,0.010957713491386523,0.1301706874479165,0.12890423504012394,**,n_distinct_fields_cited
Binary propensity,35080,0.8767035195698817,0.806800383556628,1.086642417923872,0.22442550230474567,0.13005232176310466,0.12878569701747034,,n_distinct_fields_cited
Drop Arts & Hum.,33973,0.8583722817139083,0.3389580466155883,2.5323850260660334,0.008442807063438362,0.13123603264605033,0.12995550088590357,***,n_distinct_fields_cited
Drop Psychology,32967,0.7705652329071045,0.34768184838963057,2.2162941104810527,0.020083012897569752,0.12901447348515294,0.1276914306997069,**,n_distinct_fields_cited
Drop A&H + Psych,31860,0.8136365941698831,0.3508722776473319,2.3188967781252985,0.015305196325616777,0.13042639994232152,0.12908691215851686,**,n_distinct_fields_cited
Cutoff: Aug 2024,35080,0.4524246208013343,0.3295653700577277,1.3727917490908896,0.1339541657674015,0.13006963917602465,0.12880303964416373,,n_distinct_fields_cited
Cutoff: Feb 2025,35080,1.07294391518691,0.3548328630857957,3.023800856144153,0.0018389497693058754,0.13025056878953833,0.1289842326872278,***,n_distinct_fields_cited
Min 5 refs,34103,0.780681881981797,0.34042077203304527,2.2932850933844153,0.016393227691112067,0.13034187565176603,0.12903934226532332,**,n_distinct_fields_cited
Min 10 refs,31413,0.5897488109606623,0.35508109339757066,1.6608848568018328,0.074799329654053,0.1303470404550361,0.12893279024181603,*,n_distinct_fields_cited
Baseline,35080,-0.07770165968671551,0.042115816609299,-1.8449519905440774,0.049780803832571774,0.12243752449269774,0.12115981276919452,**,within_field_share
